date,rolling_exposure,rolling_trade_density,rolling_sharpe,rolling_drawdown
2018-12-10,67.85714285714286,45.0,0.34032943573535535,-0.24329032651776528
2018-12-11,67.85714285714286,45.0,0.32915181589585363,-0.24329032651776528
2018-12-12,68.25396825396825,44.0,0.3258361176286171,-0.24329032651776528
2018-12-13,68.65079365079364,44.0,0.42869832137681435,-0.24329032651776528
2018-12-14,69.04761904761905,44.0,0.33507273138091487,-0.24329032651776528
2018-12-17,69.44444444444444,44.0,0.2810892754598079,-0.24329032651776528
2018-12-18,69.44444444444444,43.0,0.05123543936666121,-0.28032261247729395
2018-12-19,69.44444444444444,43.0,0.11983456323517717,-0.28032261247729395
2018-12-20,69.44444444444444,43.0,-0.15964933020234162,-0.30475531439994497
2018-12-21,69.44444444444444,43.0,-0.18328889640165472,-0.31153506938371733
2018-12-24,69.44444444444444,43.0,-0.5317756881963123,-0.3543882376773734
2018-12-26,69.44444444444444,43.0,-0.18980779784803692,-0.3543882376773734
2018-12-27,69.44444444444444,43.0,-0.332393580202887,-0.3543882376773734
2018-12-28,69.44444444444444,43.0,-0.30483789101514264,-0.3543882376773734
2018-12-31,69.44444444444444,43.0,-0.32241008286435985,-0.3543882376773734
2019-01-02,69.44444444444444,43.0,-0.2601794274118016,-0.3543882376773734
2019-01-03,69.44444444444444,43.0,-0.18646951634456238,-0.3543882376773734
2019-01-04,69.44444444444444,43.0,-0.14158343565790468,-0.3543882376773734
2019-01-07,69.44444444444444,43.0,-0.1450148892591658,-0.3543882376773734
2019-01-08,69.44444444444444,43.0,0.016122238929191044,-0.3543882376773734
2019-01-09,69.44444444444444,43.0,0.1855394361559466,-0.3543882376773734
2019-01-10,69.44444444444444,43.0,0.20491818222950559,-0.3543882376773734
2019-01-11,69.44444444444444,43.0,0.16763160880802827,-0.3543882376773734
2019-01-14,69.44444444444444,43.0,0.046310959444300775,-0.3543882376773734
2019-01-15,69.44444444444444,43.0,0.10267336608073874,-0.3543882376773734
2019-01-16,69.44444444444444,43.0,0.11458671919967081,-0.3543882376773734
2019-01-17,69.44444444444444,43.0,0.11176233625605972,-0.3543882376773734
2019-01-18,69.84126984126983,42.0,0.20828258632542498,-0.3543882376773734
2019-01-21,70.23809523809523,42.0,0.21075910602284112,-0.3543882376773734
2019-01-22,70.23809523809523,41.0,0.15878012219376408,-0.3543882376773734
2019-01-23,70.23809523809523,41.0,0.11520002663474788,-0.3543882376773734
2019-01-24,70.63492063492063,40.0,0.11261385115181372,-0.3543882376773734
2019-01-25,71.03174603174604,40.0,0.14738368104133145,-0.3543882376773734
2019-01-28,71.42857142857143,40.0,0.03980930629327457,-0.3543882376773734
2019-01-29,71.42857142857143,39.0,0.08611147278788062,-0.3543882376773734
2019-01-30,71.82539682539682,38.0,0.10730464178766133,-0.3543882376773734
2019-01-31,72.22222222222221,38.0,0.06362677732306866,-0.3543882376773734
2019-02-01,72.61904761904762,38.0,0.18257929571189022,-0.3543882376773734
2019-02-04,73.01587301587301,38.0,0.16801256189931635,-0.3543882376773734
2019-02-05,73.4126984126984,38.0,0.13569450193874766,-0.3543882376773734
2019-02-06,73.80952380952381,38.0,0.17907045961241527,-0.3543882376773734
2019-02-07,73.80952380952381,37.0,0.11695450421461853,-0.3543882376773734
2019-02-08,73.80952380952381,37.0,0.11581500583239455,-0.3543882376773734
2019-02-11,73.80952380952381,37.0,0.03131610699269821,-0.3543882376773734
2019-02-12,73.80952380952381,37.0,0.11151839423768202,-0.3543882376773734
2019-02-13,73.80952380952381,37.0,0.17340665242240805,-0.3543882376773734
2019-02-14,73.80952380952381,37.0,0.17439670165470844,-0.3543882376773734
2019-02-15,73.80952380952381,37.0,0.21957483235081582,-0.3543882376773734
2019-02-18,73.80952380952381,37.0,0.2231445847659848,-0.3543882376773734
2019-02-19,74.20634920634922,36.0,0.22087784578831154,-0.3543882376773734
2019-02-20,74.60317460317461,36.0,0.25640775997306114,-0.3543882376773734
2019-02-21,74.60317460317461,35.0,0.30916509967011563,-0.3543882376773734
2019-02-22,74.60317460317461,35.0,0.2802356599637842,-0.3543882376773734
2019-02-25,74.60317460317461,35.0,0.07869353984106792,-0.3543882376773734
2019-02-26,75.0,34.0,0.10523856407015078,-0.3543882376773734
2019-02-27,75.39682539682539,34.0,0.17258011638977477,-0.3543882376773734
2019-02-28,75.79365079365078,34.0,0.15741557743664303,-0.3543882376773734
2019-03-01,76.19047619047619,34.0,0.0873704174772193,-0.3543882376773734
2019-03-04,76.19047619047619,33.0,0.15297908636548357,-0.3543882376773734
2019-03-05,75.79365079365078,34.0,0.1702266341965967,-0.3543882376773734
2019-03-06,75.39682539682539,34.0,0.15583362296947145,-0.3543882376773734
2019-03-07,75.39682539682539,33.0,0.15639254667686342,-0.3543882376773734
2019-03-08,75.39682539682539,33.0,0.15639254667686342,-0.3543882376773734
2019-03-11,75.0,32.0,0.16596322214402737,-0.3543882376773734
2019-03-12,75.0,31.0,0.16652218408755795,-0.3543882376773734
2019-03-13,75.0,31.0,0.16652218408755795,-0.3543882376773734
2019-03-14,75.39682539682539,32.0,0.18358869844077003,-0.3543882376773734
2019-03-15,75.79365079365078,32.0,0.18746663855233175,-0.3543882376773734
2019-03-18,76.19047619047619,32.0,0.16634877919422353,-0.3543882376773734
2019-03-19,76.5873015873016,32.0,0.16248707402299964,-0.3543882376773734
2019-03-20,76.5873015873016,31.0,0.14472502188239464,-0.3543882376773734
2019-03-21,76.5873015873016,31.0,0.14808773015354054,-0.3543882376773734
2019-03-22,76.5873015873016,31.0,0.28576940997259553,-0.3543882376773734
2019-03-25,76.5873015873016,31.0,0.24931515284064995,-0.3543882376773734
2019-03-26,76.5873015873016,32.0,0.2956741837804418,-0.3543882376773734
2019-03-27,76.5873015873016,32.0,0.2710056270817398,-0.3543882376773734
2019-03-28,76.19047619047619,33.0,0.33785719308224443,-0.3543882376773734
2019-03-29,75.79365079365078,33.0,0.25293408002664103,-0.3543882376773734
2019-04-01,75.39682539682539,33.0,0.12328986858202888,-0.3543882376773734
2019-04-02,75.39682539682539,34.0,0.08822328192329874,-0.3543882376773734
2019-04-03,75.39682539682539,34.0,0.08704834744893761,-0.3543882376773734
2019-04-04,75.39682539682539,34.0,0.06251893846437136,-0.3543882376773734
2019-04-05,75.39682539682539,34.0,0.174606108427798,-0.3543882376773734
2019-04-08,75.39682539682539,34.0,0.20694493274017028,-0.3543882376773734
2019-04-09,75.39682539682539,34.0,0.08053796290153166,-0.3543882376773734
2019-04-10,75.39682539682539,34.0,0.12520118543090775,-0.3543882376773734
2019-04-11,75.39682539682539,34.0,0.0629802903500477,-0.3543882376773734
2019-04-12,75.39682539682539,34.0,0.06824273337073922,-0.3543882376773734
2019-04-15,75.0,35.0,0.1109961252654949,-0.3543882376773734
2019-04-16,75.0,36.0,0.1320155158318156,-0.3543882376773734
2019-04-17,75.0,36.0,0.08876957884845527,-0.3543882376773734
2019-04-18,75.0,36.0,0.11242844585320091,-0.3543882376773734
2019-04-22,75.0,36.0,0.17457195798113911,-0.3543882376773734
2019-04-23,75.0,36.0,0.2784567123097964,-0.3543882376773734
2019-04-24,75.0,36.0,0.26959117133122323,-0.3543882376773734
2019-04-25,75.0,36.0,0.24494044278064975,-0.3543882376773734
2019-04-26,75.0,36.0,0.06787961974481758,-0.3543882376773734
2019-04-29,75.0,36.0,-0.003512507356092449,-0.3543882376773734
2019-04-30,75.0,36.0,0.08981416985227743,-0.3543882376773734
2019-05-01,74.60317460317461,37.0,-0.030607969480361444,-0.3543882376773734
2019-05-02,74.60317460317461,38.0,-0.11943115418994021,-0.3543882376773734
2019-05-03,74.60317460317461,38.0,-0.09683850352052245,-0.3543882376773734
2019-05-06,74.60317460317461,38.0,-0.13088875262713998,-0.3543882376773734
2019-05-07,74.20634920634922,39.0,-0.14122599103144365,-0.3543882376773734
2019-05-08,74.20634920634922,40.0,-0.1564820688308498,-0.3543882376773734
2019-05-09,74.20634920634922,40.0,-0.1563600604734116,-0.3543882376773734
2019-05-10,74.20634920634922,40.0,-0.10590516056804988,-0.3543882376773734
2019-05-13,73.80952380952381,41.0,-0.14112144786515848,-0.3543882376773734
2019-05-14,73.80952380952381,42.0,-0.10345994285174469,-0.3543882376773734
2019-05-15,73.4126984126984,43.0,-0.11507718615406312,-0.3543882376773734
2019-05-16,73.01587301587301,43.0,-0.0668245253029531,-0.3543882376773734
2019-05-17,72.61904761904762,43.0,0.04751036898409097,-0.3543882376773734
2019-05-20,72.22222222222221,43.0,0.1050758981717455,-0.3543882376773734
2019-05-21,72.22222222222221,44.0,0.08863757430234534,-0.3543882376773734
2019-05-22,72.22222222222221,44.0,0.044477478445607226,-0.3543882376773734
2019-05-23,71.82539682539682,45.0,0.051863984844186896,-0.3543882376773734
2019-05-24,71.42857142857143,45.0,0.09034454688402549,-0.3543882376773734
2019-05-27,71.03174603174604,45.0,0.16646677720255337,-0.3543882376773734
2019-05-28,71.03174603174604,46.0,0.16124326262477126,-0.3543882376773734
2019-05-29,71.03174603174604,46.0,0.19870384213763023,-0.3543882376773734
2019-05-30,71.03174603174604,46.0,0.24067195387870163,-0.3543882376773734
2019-05-31,70.63492063492063,47.0,0.2833079032642055,-0.3543882376773734
2019-06-03,70.63492063492063,48.0,0.32669326280380373,-0.3543882376773734
2019-06-04,70.63492063492063,48.0,0.31234047301634527,-0.3543882376773734
2019-06-05,70.63492063492063,48.0,0.3511757813970365,-0.3543882376773734
2019-06-06,70.63492063492063,48.0,0.32481699157021565,-0.3543882376773734
2019-06-07,70.63492063492063,48.0,0.35142556798427255,-0.3543882376773734
2019-06-10,70.63492063492063,48.0,0.3135660000721641,-0.3543882376773734
2019-06-11,70.63492063492063,48.0,0.32694649316250535,-0.3543882376773734
2019-06-12,70.23809523809523,49.0,0.343941408476897,-0.3543882376773734
2019-06-13,69.84126984126983,49.0,0.4331349835429769,-0.3543882376773734
2019-06-14,69.44444444444444,49.0,0.30285985380771957,-0.3543882376773734
2019-06-17,69.04761904761905,49.0,0.34571634308674204,-0.3543882376773734
2019-06-18,68.65079365079364,49.0,0.2636868347828023,-0.3543882376773734
2019-06-19,68.25396825396825,49.0,0.19657652444027848,-0.3543882376773734
2019-06-20,67.85714285714286,49.0,0.184901913054723,-0.3543882376773734
2019-06-21,67.46031746031747,49.0,0.10292469469512387,-0.3543882376773734
2019-06-24,67.06349206349206,49.0,0.20026759051806323,-0.3543882376773734
2019-06-25,67.46031746031747,49.0,0.2119039225693454,-0.3543882376773734
2019-06-26,67.46031746031747,50.0,0.211307408443424,-0.3543882376773734
2019-06-27,67.85714285714286,51.0,0.20712077013973476,-0.3543882376773734
2019-06-28,67.85714285714286,50.0,0.27801333693902464,-0.3543882376773734
2019-07-01,67.85714285714286,51.0,0.24727192020336014,-0.3543882376773734
2019-07-02,67.85714285714286,51.0,0.04401923065053942,-0.3543882376773734
2019-07-03,68.25396825396825,50.0,0.13340321212003708,-0.3543882376773734
2019-07-04,68.65079365079364,50.0,0.1014938693571583,-0.3543882376773734
2019-07-05,68.65079365079364,49.0,0.20557903548654796,-0.3543882376773734
2019-07-08,69.04761904761905,48.0,0.19886147239779953,-0.3543882376773734
2019-07-09,69.44444444444444,48.0,0.2019070625979766,-0.3543882376773734
2019-07-10,69.84126984126983,48.0,0.3699207777169,-0.3543882376773734
2019-07-11,70.23809523809523,48.0,0.34162861675910233,-0.3543882376773734
2019-07-12,70.23809523809523,47.0,0.379873396185232,-0.3543882376773734
2019-07-15,70.63492063492063,46.0,0.36656542659522023,-0.3543882376773734
2019-07-16,71.03174603174604,46.0,0.2414106464074399,-0.3543882376773734
2019-07-17,71.03174603174604,45.0,0.22640103273283171,-0.3543882376773734
2019-07-18,71.03174603174604,45.0,0.15342073886361765,-0.3543882376773734
2019-07-19,71.42857142857143,44.0,0.18700432936264935,-0.3543882376773734
2019-07-22,71.82539682539682,44.0,0.23474086633482277,-0.3543882376773734
2019-07-23,72.22222222222221,44.0,0.26875383991708485,-0.3543882376773734
2019-07-24,72.61904761904762,44.0,0.22998663081674625,-0.3543882376773734
