feature,ic,abs_ic,ic_tstat,ic_stability,coverage
rolling_kurt_42,-0.02186639045699128,0.02186639045699128,-1.009180338987118,0.6191489361702127,0.9802207911683533
rv_30,0.021760638284973644,0.021760638284973644,1.0071236922160383,0.7357293868921776,0.9857405703771849
vol_30,0.02176063828497361,0.02176063828497361,1.0071236922160367,0.7357293868921776,0.9857405703771849
vol_of_vol_10,-0.02146533167103776,0.02146533167103776,-0.9959987944920987,0.5270625328428796,0.9908003679852806
var_ratio_2,-0.02135588938991111,0.02135588938991111,-0.9904577409455481,0.7085744345081536,0.9898804047838087
rolling_kurt_60,-0.021305669049132798,0.021305669049132798,-0.9791244275808275,0.5682062298603652,0.9719411223551058
comp_ret_2,-0.02129641245686122,0.02129641245686122,-0.9920526740525634,0.7395833333333334,0.9986200551977921
ret_2d,-0.02129641245686119,0.02129641245686119,-0.9920526740525619,0.7395833333333334,0.9986200551977921
ema_ratio_180,-0.02125602579079214,0.02125602579079214,-0.9906268921333278,0.9089490114464099,0.999540018399264
sma_ratio_120,-0.02117645056346484,0.02117645056346484,-0.9594873354470996,0.8840820854132002,0.9448022079116836
log_ret_sum_30,0.02111538779260652,0.02111538779260652,0.9772467487846913,0.26215644820295986,0.9857405703771849
rv_120,0.021001287666467267,0.021001287666467267,0.9513154471502531,0.6520532741398446,0.9443422263109476
vol_120,0.02100128766646726,0.02100128766646726,0.9513154471502528,0.6520532741398446,0.9443422263109476
rolling_skew_14,0.020975938666949554,0.020975938666949554,0.974410691863263,0.6310272536687631,0.9931002759889604
rolling_skew_42,0.02066120232067966,0.02066120232067966,0.9535339005742637,0.7079787234042553,0.9802207911683533
rolling_kurt_40,-0.02065591987614417,0.02065591987614417,-0.953737665823471,0.5706695005313497,0.9811407543698252
entropy_120,0.020576451403268383,0.020576451403268383,0.9320629964820332,0.7158712541620422,0.9443422263109476
ac5_180,-0.020520392393128684,0.020520392393128684,-0.9146748550821162,0.5814622913068509,0.9144434222631095
vol_regime_high,-0.020449399352245625,0.020449399352245625,-0.9530184164368248,0.5509056839475328,0.999540018399264
is_month_02,0.020424815305495145,0.020424815305495145,0.9518722295569618,0.6311134235171696,0.999540018399264
comp_ret_42,0.020329922138911386,0.020329922138911386,0.938238635784585,0.3228723404255319,0.9802207911683533
ret_42d,0.020329922138911355,0.020329922138911355,0.9382386357845836,0.3228723404255319,0.9802207911683533
momentum_vol_adj_40,0.019902196702501363,0.019902196702501363,0.9189222506895276,0.3804463336875664,0.9811407543698252
vol_pct_20,-0.019323796915666557,0.019323796915666557,-0.8424620858108745,0.6371895820714718,0.874885004599816
is_month_07,-0.01901464757564954,0.01901464757564954,-0.8861285259461981,0.6420395421436004,0.999540018399264
comp_ret_120,-0.018877741315025304,0.018877741315025304,-0.8550869119500318,0.8684794672586016,0.9443422263109476
ret_120d,-0.0188777413150252,0.0188777413150252,-0.8550869119500271,0.8684794672586016,0.9443422263109476
rolling_kurt_90,-0.01883501651251282,0.01883501651251282,-0.8593678333341592,0.6975982532751092,0.9581416743330267
log_ret_sum_3,-0.018764336327003275,0.018764336327003275,-0.8738548853500167,0.8066701406982804,0.9981600735970562
ac5_10,0.018716979661168087,0.018716979661168087,0.8692330529411305,0.670162558993183,0.9926402943882244
ema_ratio_120,-0.018656310537028643,0.018656310537028643,-0.8694232837931294,0.8860561914672217,0.999540018399264
is_month_11,-0.018567402610366695,0.018567402610366695,-0.8652785552298061,0.5130072840790842,0.999540018399264
comp_ret_30,0.018364693250316075,0.018364693250316075,0.8498949723408183,0.26479915433403806,0.9857405703771849
ret_30d,0.018364693250315985,0.018364693250315985,0.8498949723408141,0.26479915433403806,0.9857405703771849
distance_low_5,0.018094522122801587,0.018094522122801587,0.8424568807136924,0.48331595411887385,0.9977000919963201
ac5_14,0.018053082500348566,0.018053082500348566,0.8376127570630856,0.649500788229112,0.9908003679852806
macd_hist,-0.018044018722556503,0.018044018722556503,-0.8408797472214705,0.6077003121748179,0.999540018399264
ret_7d,-0.018017351076228778,0.018017351076228778,-0.8382818672936229,0.622976501305483,0.9963201471941122
comp_ret_7,-0.018017351076228757,0.018017351076228757,-0.838281867293622,0.622976501305483,0.9963201471941122
log_ret_sum_42,0.017876216947561037,0.017876216947561037,0.8249599212012284,0.324468085106383,0.9802207911683533
vol_180,0.01778825529524412,0.01778825529524412,0.7938486395072191,0.4770378874856487,0.9167433302667893
rv_180,0.017788255295244117,0.017788255295244117,0.7938486395072188,0.4770378874856487,0.9167433302667893
is_month_start,0.01771954447350292,0.01771954447350292,0.8257539424544184,0.4011446409989594,0.999540018399264
is_dow_4,-0.017606092484339437,0.017606092484339437,-0.8204652867798701,0.4183142559833507,0.999540018399264
trend_strength_60,0.017435546234272625,0.017435546234272625,0.8013985220969175,0.644122383252818,0.9724011039558418
slope_180,-0.0173155774455965,0.0173155774455965,-0.7729417445208732,0.8479632816982214,0.9172033118675254
vol_pct_60,0.01721688171690062,0.01721688171690062,0.7426348820225612,0.7839851024208566,0.8564857405703772
z_price_180,0.017199656943069314,0.017199656943069314,0.7677656885045399,0.34710269650028686,0.9172033118675254
distance_low_180,0.017129696398430386,0.017129696398430386,0.7646418411139795,0.3029259896729776,0.9172033118675254
is_month_05,0.017120082765580583,0.017120082765580583,0.7978099092999992,0.49323621227887615,0.999540018399264
vol_of_vol_30,-0.017035809325800025,0.017035809325800025,-0.7830198230334745,0.6822329575952765,0.9724011039558418
rv_10,0.017000558284388137,0.017000558284388137,0.7904116553025231,0.7384937238493724,0.9949402023919043
vol_10,0.017000558284388123,0.017000558284388123,0.7904116553025226,0.7384937238493724,0.9949402023919043
ac1_7,0.01696404997454519,0.01696404997454519,0.7890786671107343,0.7434691745036572,0.9958601655933763
momentum_vol_adj_90,-0.016930078410885646,0.016930078410885646,-0.7724266672400265,0.8258733624454149,0.9581416743330267
var_ratio_7,-0.016899857914648264,0.016899857914648264,-0.7828142608908933,0.6123417721518988,0.9875804967801288
rolling_skew_120,-0.016790439921471476,0.016790439921471476,-0.7605121063362766,0.5022197558268591,0.9443422263109476
rolling_skew_60,0.01667045555828077,0.01667045555828077,0.766040867158804,0.6095596133190118,0.9719411223551058
rolling_sharpe_90,-0.01651934942603184,0.01651934942603184,-0.7536821765222135,0.8564410480349345,0.9581416743330267
distance_high_180,-0.016428142756255995,0.016428142756255995,-0.7333169907518797,0.8519793459552496,0.9172033118675254
drawdown_180,-0.016428142756255995,0.016428142756255995,-0.7333169907518797,0.8519793459552496,0.9172033118675254
z_price_252,0.016403923093587545,0.016403923093587545,0.7188806246259974,0.27588270496708556,0.8840846366145354
distance_high_20,-0.016353114960225148,0.016353114960225148,-0.7587168016013116,0.7025748817656332,0.9908003679852806
drawdown_20,-0.016353114960225148,0.016353114960225148,-0.7587168016013116,0.7025748817656332,0.9908003679852806
is_month_04,0.0160737471200983,0.0160737471200983,0.7490367979408286,0.595213319458897,0.999540018399264
ema_ratio_90,-0.016066970513042064,0.016066970513042064,-0.7487209264165636,0.8569198751300728,0.999540018399264
rolling_skew_40,0.015881663517400228,0.015881663517400228,0.733233827288532,0.6907545164718385,0.9811407543698252
rolling_skew_20,0.01587609011130129,0.01587609011130129,0.7364080025962969,0.6324921135646687,0.9903403863845446
rsi_14,0.015859729447843526,0.015859729447843526,0.738890814117317,0.30609057782404997,0.9990800367985281
turn_of_month,0.01585342571941754,0.01585342571941754,0.7387672191727945,0.5369406867845994,0.999540018399264
comp_ret_40,0.01577661280635412,0.01577661280635412,0.7283825737947771,0.30233793836344314,0.9811407543698252
ret_40d,0.01577661280635409,0.01577661280635409,0.7283825737947757,0.30233793836344314,0.9811407543698252
vol_20,0.0156001473543785,0.0156001473543785,0.723605331666762,0.6403785488958991,0.9903403863845446
rv_20,0.015600147354378481,0.015600147354378481,0.7236053316667611,0.6403785488958991,0.9903403863845446
rsi_20,0.015472671459931106,0.015472671459931106,0.7208537515168771,0.30400832899531494,0.9990800367985281
sma_ratio_3,-0.015290143505372833,0.015290143505372833,-0.7121838317815801,0.665625,0.9986200551977921
log_ret_sum_40,0.015218380013271396,0.015218380013271396,0.7026037223271836,0.2970244420828905,0.9811407543698252
drawdown_60,-0.015142221142937692,0.015142221142937692,-0.6959632959002389,0.8013955984970478,0.9724011039558418
distance_high_60,-0.015142221142937692,0.015142221142937692,-0.6959632959002389,0.8013955984970478,0.9724011039558418
ac1_90,-0.014996413435838669,0.014996413435838669,-0.6840186021893488,0.6127799016930638,0.9576816927322908
breakout_pos_30,0.014896253450050368,0.014896253450050368,0.6895011202957552,0.3507659799260433,0.9862005519779209
day_of_week,0.014894848609475812,0.014894848609475812,0.6940874406674528,0.568678459937565,0.999540018399264
ret_252d,-0.014800289901665768,0.014800289901665768,-0.6484183259611694,0.8976047904191616,0.8836246550137995
comp_ret_252,-0.014800289901665736,0.014800289901665736,-0.648418325961168,0.8976047904191616,0.8836246550137995
slope_14,-0.014662431155280589,0.014662431155280589,-0.6812058909046073,0.6155055002619172,0.9935602575896965
